[Header]
TITLE,NdTiGaO_multifield_He3Base._50K.dat
BYAPP,HeatCapacity,3.9.3,1.7
INFO,6.856,MASS:Sample Mass (mg)
INFO,0.005,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.3 Build 101,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3762102626.78422,,1857,21.1863,21.1863,-0.19036877155304,9.89999989542412E-6,21.496058,0.42128756,121.79699,0.3072,85.763354,0.07696,207.56034,0.2974,0.10432345,28.89888,0,100,0,0,1,,,,7.1823E-6,58.57679,462.0805,5.666015,0
3762102856.59183,,1857,21.183,21.183,-0.0951843857765198,9.89999989542412E-6,21.486762,0.42784324,122.18803,0.1951,85.671088,0.07693,207.85912,0.1951,1.1812017,29.60519,0.018700538,99.739497,0,0,1,,,,7.0274E-6,57.79776,461.68093,5.6866658,0
3762104120.55707,,1857,19.0608,19.0608,-0.154674634337425,9.89999989542412E-6,19.345456,0.40570951,93.823108,0.3128,69.756963,0.08669,163.58007,0.3005,0.62295608,25.577526,0,100,0,0,1,,,,6.3955E-6,59.21038,374.24666,4.8498784,0
3762104327.41051,,1857,19.0454,19.0454,-0.237960964441299,9.89999989542412E-6,19.325626,0.37754315,93.3792,0.2719,69.629241,0.08681,163.00844,0.2577,0.22469593,25.067704,0,100,0,0,1,,,,6.5027E-6,51.15505,373.47982,4.8318849,0
3762104530.16017,,1857,19.0338,19.0338,-0.19036877155304,9.89999989542412E-6,19.308901,0.37426624,93.454748,0.2545,69.514328,0.08691,162.96908,0.2392,0.30179135,25.211606,0,100,0,0,1,,,,6.464E-6,50.13541,372.83366,4.8399828,0
3762105218.08121,,1857,17.0308,17.0308,-0.14277657866478,9.89999989542412E-6,17.285551,0.37594632,69.291341,0.1761,55.303057,0.07997,124.5944,0.1761,1.77907,22.18369,0.031286707,99.429897,0,0,1,,,,5.6265E-6,50.42321,298.79027,4.0086278,0
3762105378.10105,,1857,17.0721,17.0721,-0.107082441449165,9.89999989542412E-6,17.306351,0.35247717,69.494562,0.3069,55.477745,0.08029,124.97231,0.3069,0.19128955,23.122713,0.070113259,98.777342,0,0,1,,,,5.4255E-6,44.36738,299.50979,4.0155525,0
3762105543.38014,,1857,17.1027,17.1027,-0.130878537893295,9.89999989542412E-6,17.34941,0.3594127,69.655192,0.2265,55.756615,0.0808,125.41181,0.2265,0.32903165,22.549573,0.04126409,99.261015,0,0,1,,,,5.5744E-6,46.24543,301.00204,4.0148449,0
3762106172.53407,,1857,15.316,15.316,-0.0594902411103249,9.89999989542412E-6,15.552747,0.33876323,50.466321,0.1952,44.090348,0.05969,94.556668,0.1859,0.7155405,18.556169,0,100,0,0,1,,,,5.0957E-6,45.09915,241.88794,3.2448493,0
3762106312.73593,,1857,15.3375,15.3375,-0.107082441449165,9.89999989542412E-6,15.555569,0.31319849,50.430043,0.1587,44.112593,0.05972,94.542636,0.1587,0.47485729,19.175084,0.043133365,99.099675,0,0,1,,,,4.9433E-6,37.11234,241.97574,3.2419284,0
3762106455.34448,,1857,15.3564,15.3564,-0.130878537893295,9.89999989542412E-6,15.579951,0.3186606,50.581193,0.1431,44.255326,0.0599,94.836519,0.1431,0.62225501,19.021407,0.035266636,99.257441,0,0,1,,,,4.9964E-6,38.35017,242.73488,3.2465566,0
3762107021.84,,1857,13.7677,13.7677,-0.011898048222065,9.89999989542412E-6,13.986171,0.30339236,35.860178,0.1481,35.064773,0.04913,70.924952,0.1397,0.29659426,15.494827,0,100,0,0,1,,,,4.5773E-6,38.04281,195.61298,2.5639739,0
3762107142.95327,,1857,13.7774,13.7774,-0.0594902411103249,9.89999989542412E-6,13.978323,0.27908511,35.88188,0.1012,35.023174,0.04907,70.905054,0.1012,1.4625276,15.932754,0.025834201,99.353365,0,0,1,,,,4.4577E-6,30.98965,195.39352,2.566966,0
